parts,label,sample_id,type,cbo,dit,rfc,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,nosi,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,RM_LOC,RM_LCOM5,RM_NADC,RM_ATFD,RM_WMC
train,critical,7047868,1,23,1,141,0,0,22,22,17,5,0,0,17,0,0,0,19,19,2,17,0,0,3,130,114,17,266,40,146,246,514,250,112,172,10,0,0,0,307,1,0,1059,0.985,0,76,524
train,critical,4296219,1,11,2,37,0,0,21,0,2,0,19,0,21,0,0,0,50,24,0,3,47,0,24,9,12,0,10,2,4,39,26,87,17,69,3,7,0,0,117,1,5,267,0.987,0,0,54
train,critical,6773071,1,26,2,43,0,0,229,4,228,0,0,1,229,0,0,1,91,1,0,90,1,0,0,48,232,6,4,1,0,123,2,385,3,152,7,40,2,0,235,1,0,1161,0.9899,0,0,263
train,critical,6079026,1,43,2,87,0,0,10,4,1,8,0,1,2,0,0,0,3,1,0,3,0,0,3,23,8,0,0,0,1,11,2,21,2,23,6,0,1,3,134,17,8,130,0.963,0,0,27
train,critical,6204790,1,119,1,40,0,0,2,0,2,0,0,0,2,0,0,0,147,34,34,113,0,0,34,2,0,1,0,0,0,90,1,63,1,176,2,1,1,0,286,1,0,349,1.0272,0,0,5
train,critical,6379553,1,18,3,53,0,0,47,0,29,16,2,0,31,0,0,0,32,12,7,25,0,0,12,1,26,4,23,1,7,8,24,55,0,42,4,1,1,4,391,1,0,412,0.9742,0,0,130
train,critical,5596503,1,55,3,118,0,0,29,0,18,6,2,3,23,0,0,0,5,0,0,5,0,0,0,16,16,10,23,0,3,83,30,92,20,79,4,0,0,0,151,1,0,547,0.9143,0,0,102
train,critical,8962194,2,24,1,105,0,0,140,2,127,12,1,0,128,0,2,0,20,0,0,20,0,0,0,42,165,0,130,1,113,10,151,228,0,45,3,0,0,0,166,25,0,78,0,0,0,22
train,critical,4512195,1,14,1,77,0,0,16,4,5,4,0,7,12,0,0,1,11,3,0,11,0,0,0,16,7,17,14,4,2,24,5,90,4,74,6,0,1,0,289,1,0,408,0.7515,0,0,82
train,critical,7757709,1,26,1,36,0,0,4,0,2,2,0,0,2,0,0,0,11,2,0,11,0,0,11,8,3,2,1,2,1,9,3,29,3,27,3,1,0,0,108,1,2,158,0.7879,0,0,29
train,critical,6374724,1,17,3,56,0,0,15,1,14,0,0,1,15,0,1,0,11,6,6,5,0,0,6,7,9,11,19,1,7,6,0,89,0,70,5,0,0,0,127,1,0,275,0.8701,0,0,62
train,critical,4455297,2,19,1,59,0,0,59,1,51,7,1,0,52,0,4,0,8,0,0,8,0,0,0,14,63,0,58,1,32,0,49,74,0,13,2,0,0,0,97,25,0,484,1.0172,0,2,123
train,critical,4620157,1,26,1,130,0,0,46,46,35,11,0,0,35,0,0,0,5,5,2,3,0,0,5,96,76,29,71,1,4,22,40,189,7,151,7,2,1,4,356,1,0,653,1,0,0,210
train,critical,5786929,1,47,7,149,0,0,34,1,5,27,0,2,7,0,0,0,50,11,0,34,1,15,35,14,31,10,44,10,31,62,88,189,78,139,6,1,7,0,273,1,16,686,0.9339,1,0,138
train,critical,9071167,1,68,1,125,0,0,24,0,9,14,1,0,11,0,0,0,12,1,0,10,0,2,1,27,27,18,92,17,29,2,79,259,12,179,7,0,0,0,219,1,0,711,0.8261,0,0,213
train,major,8538037,1,31,1,67,0,0,23,0,6,9,8,0,14,0,0,0,5,1,0,4,1,0,4,2,30,2,20,10,2,57,0,73,27,65,3,0,0,0,146,1,16,335,0.8091,0,0,78
train,major,6026896,1,37,2,46,0,0,28,14,16,12,0,0,16,0,0,0,25,3,2,23,0,0,2,20,23,1,0,0,0,7,1,30,2,29,1,0,0,0,144,17,0,136,0.9526,0,0,28
train,major,4214220,1,9,1,39,0,0,1,1,1,0,0,0,2,0,0,0,10,10,1,1,0,8,0,128,5,8,5,6,21,46,149,206,48,51,5,0,0,0,109,1,10,255,0,0,0,37
