parts,label,sample_id,constructor,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
train,none,3698602,0,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
train,none,3698665,0,5,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
train,none,3698860,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,12,1,0,0
train,none,3699227,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
train,none,3699521,0,1,1,1,8,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,10,1,0,0
train,none,3700134,1,0,2,4,6,0,1,2,4,0,0,0,1,0,1,0,0,4,0,0,0,0,10,1,0,0
train,none,3701394,0,1,4,0,6,1,2,1,0,0,0,0,0,0,7,1,11,2,8,1,0,0,23,17,0,1
train,none,3701417,0,1,2,0,5,1,1,0,0,0,0,0,0,0,15,1,15,1,11,1,0,0,18,17,0,1
test,none,3701614,0,3,2,2,9,2,0,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0
train,none,3703084,0,3,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0
test,none,3709545,0,3,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0
train,none,3717549,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
train,critical,5743113,0,10,80,15,314,0,24,0,15,7,5,12,20,0,13,0,137,118,55,6,0,0,136,2,0,1
test,none,3719020,1,1,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,2,0,0
train,none,3722097,0,2,5,7,27,2,5,2,7,0,0,1,1,0,0,1,5,7,1,2,0,0,14,18,0,0
test,none,3722557,0,2,1,2,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1
train,none,3724040,0,1,2,3,6,2,0,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,6,9,0,1
train,none,3725026,0,2,2,2,9,1,0,3,2,0,0,0,1,0,0,0,0,1,0,1,0,0,8,1,0,0
train,none,3725378,0,3,1,1,16,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,19,4,0,0
train,none,3727277,0,1,2,2,8,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,11,1,0,0
train,none,3730280,0,1,2,2,24,0,0,0,2,1,1,0,1,0,0,0,0,1,0,1,3,0,20,1,0,0
test,none,3735879,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0
train,none,3738168,0,1,4,2,53,1,0,0,2,0,0,0,3,0,17,8,21,34,0,1,0,0,32,1,0,0
train,critical,6276517,0,24,56,56,171,1,30,5,56,6,4,16,10,3,5,2,13,43,3,5,0,0,93,2,0,0
test,none,3741534,0,6,1,4,6,0,2,2,4,0,0,0,0,0,0,3,0,2,0,0,0,0,10,1,0,0
train,none,3742330,0,2,5,3,8,0,1,1,3,0,0,1,3,0,3,0,1,1,0,2,0,0,24,10,0,1
train,none,3743029,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
train,none,3749791,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
train,none,3753086,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0
train,none,3753095,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
test,none,3762849,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0
train,none,3763789,0,1,2,1,5,1,1,1,1,1,1,0,1,0,0,2,0,1,1,1,0,0,26,9,0,1
train,none,3770892,0,0,1,3,6,0,1,2,3,0,0,0,0,0,0,1,1,1,1,0,0,0,24,10,0,1
train,none,3775458,0,0,3,1,6,1,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,12,10,0,0
train,none,3780834,0,1,2,8,10,0,1,1,8,1,1,1,0,0,0,0,1,1,0,1,0,0,15,17,0,0
test,none,3782985,0,2,4,5,18,3,1,1,5,0,0,0,4,1,0,1,1,1,1,2,0,0,52,10,0,1
test,none,3784303,0,4,2,5,9,0,3,3,5,0,0,1,0,0,0,1,0,3,0,1,0,0,12,1,1,0
test,none,3785309,0,6,1,7,6,0,1,2,7,2,2,0,0,0,0,3,2,1,2,0,0,0,14,4,2,0
train,none,3790421,0,2,1,6,6,1,3,1,6,5,1,0,0,0,0,0,0,3,1,0,0,0,15,17,0,0
train,none,3791275,0,2,1,3,5,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0
train,none,3794102,0,3,1,3,5,0,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
train,none,3796407,0,4,5,8,27,0,1,2,8,0,0,1,2,0,0,0,1,2,0,3,0,0,8,1,0,0
train,none,3799104,0,0,2,2,7,0,1,1,2,0,0,0,0,0,1,2,0,1,2,1,0,0,8,9,1,0
train,none,3800392,0,1,1,2,6,0,0,1,2,0,0,0,0,0,0,0,1,3,0,0,0,0,9,1,0,0
train,none,3801914,0,2,2,2,8,0,0,1,2,1,1,0,1,0,0,0,1,3,0,1,0,0,10,9,0,0
test,none,3803712,0,4,1,4,7,0,1,2,4,0,0,0,0,0,0,1,0,1,0,0,0,0,8,2,1,0
train,none,3804285,0,1,3,4,10,2,3,1,4,0,0,1,0,0,0,0,1,3,0,2,0,0,11,2,0,0
train,none,3807471,0,3,3,6,12,1,0,6,6,0,0,0,0,1,0,1,0,0,0,1,0,0,7,1,0,0
train,none,3808598,0,2,2,2,9,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,7,1,0,0
train,none,3809437,0,1,2,3,6,1,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,16,1,1,1
train,none,3811653,0,3,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
train,none,3812099,0,1,10,3,31,8,5,1,3,0,0,2,6,0,1,0,2,5,0,2,0,0,13,1,0,0
train,none,3814167,1,2,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,2,0,0
test,none,3817294,0,3,3,3,9,2,0,1,3,1,2,0,1,0,1,0,0,0,1,1,0,0,11,2,0,0
train,none,3818939,1,2,2,1,10,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,21,1,0,1
train,none,3819885,0,3,3,2,9,2,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,9,1,0,0
train,none,3823798,1,1,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,1,0,0
train,none,3824920,0,2,2,2,8,0,1,0,2,0,0,0,1,0,0,0,0,2,0,1,0,0,47,1,0,1
train,none,3825676,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,65536,0,0
test,none,3828619,0,4,5,5,19,1,2,1,5,1,1,0,1,2,0,0,0,2,0,3,0,0,15,1,0,0
train,none,3829184,0,1,1,1,5,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,8,1,0,0
train,none,3831179,0,2,5,0,14,5,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,32,9,0,1
test,none,3834247,0,7,5,10,24,0,2,2,10,0,0,0,0,0,0,0,5,6,0,1,0,0,14,1,0,0
test,none,3839255,0,5,3,2,9,2,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0
train,none,3843851,0,3,1,2,6,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0
test,none,3844294,0,3,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1,0,0
train,none,3848916,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0
test,none,3849158,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1,0,1
train,none,3851209,0,3,1,4,6,1,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,0,0
train,none,3851625,0,1,1,3,3,1,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,1
train,none,3856345,0,7,4,19,14,0,2,2,19,1,1,1,0,0,0,5,1,2,1,3,0,0,23,10,0,0
train,none,3856911,0,0,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,1
train,none,3857363,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0
test,none,3858217,0,5,1,2,3,1,0,3,2,1,1,0,0,0,0,4,0,0,0,0,0,0,44,1,0,1
train,none,3859697,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,33,0,0
train,none,3864226,0,3,4,2,13,3,2,1,2,0,0,1,1,0,0,0,0,2,0,2,0,0,12,1,0,0
train,none,3868102,0,3,2,7,5,1,1,0,7,1,1,0,0,0,1,4,0,1,1,0,0,0,9,1,0,0
train,none,3868110,0,0,2,2,5,1,2,2,2,0,0,1,0,0,0,0,1,2,0,1,0,0,7,9,0,0
test,none,3868603,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
test,none,3869246,0,2,1,1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0
train,none,3870545,0,2,1,2,4,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,22,9,0,1
train,none,3871308,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0
train,none,3872015,0,2,4,10,24,1,5,2,10,0,0,1,0,2,1,4,4,7,1,2,0,0,33,4,0,0
train,none,3873345,0,2,5,3,6,3,1,1,3,0,0,0,4,0,0,0,0,1,0,1,0,0,14,1,0,0
train,none,3875268,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
train,none,3875995,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
train,none,3876033,1,1,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,1,0,1
train,none,3877056,0,4,3,6,11,0,2,1,6,2,2,2,0,0,0,2,0,2,1,1,0,0,20,10,0,0
train,major,7964380,0,2,43,5,126,0,15,0,5,0,0,2,6,1,20,1,40,25,0,6,0,0,46,17,0,0
test,none,3879070,0,3,2,2,3,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,19,10,0,0
train,none,3879673,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0
train,none,3882178,0,7,1,7,7,1,2,2,7,0,0,0,0,0,0,3,0,2,0,0,0,0,37,1,0,1
train,critical,5939954,1,7,18,22,123,0,34,1,22,1,1,3,5,0,4,52,16,45,0,5,0,0,67,1,0,1
train,none,3897308,0,5,3,2,9,2,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0
train,none,3904736,0,2,2,3,10,1,1,1,3,0,0,0,0,1,0,2,0,1,1,1,0,0,15,2,0,0
test,none,3905445,0,2,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
test,none,3909025,0,1,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,0,1
train,none,3913986,0,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,1
train,none,3917525,0,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,1
train,none,3917547,0,2,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0,0
train,none,3918098,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
train,critical,7850192,0,7,35,33,123,3,10,3,33,11,9,1,5,3,0,9,7,23,2,5,0,0,92,0,4,1
train,major,8712093,1,13,29,25,113,0,8,2,25,1,1,0,4,1,0,0,9,40,1,3,0,0,93,1,1,1
train,none,3919083,0,4,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
train,none,3919373,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,1,0,0
train,none,3920271,0,0,2,1,3,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,4,1,0,0
train,none,3921684,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0
train,critical,7026461,0,11,38,41,108,6,29,2,41,3,10,8,16,0,3,7,20,42,3,4,0,0,64,2,0,0
test,none,3922485,0,2,2,7,11,0,0,1,7,1,2,0,1,0,0,0,1,3,0,1,0,0,17,1,0,0
train,none,3924383,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
train,none,3924454,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0
train,none,3924473,0,1,1,1,5,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,12,1,0,0
train,none,3926659,1,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0
train,none,3926825,0,0,1,3,3,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0
train,none,3927368,0,3,3,6,12,0,2,2,6,0,0,0,0,0,0,0,3,4,0,1,0,0,6,1,0,0
train,none,3930845,0,2,2,1,8,0,0,1,1,1,2,0,0,1,0,0,0,0,0,1,0,0,4,2,0,0
train,none,3931329,0,3,2,2,7,1,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,19,9,0,1
test,none,3933339,0,2,1,8,10,0,1,0,8,1,1,0,0,0,0,0,0,1,0,0,0,0,32,18,0,1
train,none,3940072,0,6,4,8,19,1,6,3,8,1,2,1,0,0,0,0,0,6,0,2,0,0,17,2,0,0
train,critical,6905182,0,8,17,8,106,12,18,3,8,0,0,0,6,4,0,12,14,26,18,3,0,0,61,2,0,1
train,none,3945199,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
train,none,3945316,0,5,5,8,9,2,3,1,8,0,0,1,0,0,0,0,0,3,0,2,0,0,12,1,0,0
train,none,3947756,0,0,2,0,6,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,11,8,0,0
train,major,3951549,0,13,28,35,105,0,24,2,35,0,0,1,13,2,9,6,0,25,4,5,0,0,84,2,2,1
train,none,3952980,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0
test,none,3961246,0,3,2,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0
train,none,3963415,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
train,none,3964331,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0
train,none,3974746,0,2,5,8,11,4,2,2,8,1,0,1,0,0,0,0,1,2,0,3,0,0,7,1,0,0
train,none,3975605,0,3,4,2,7,1,1,3,2,1,2,0,1,0,1,3,0,1,1,1,0,0,18,10,0,0
train,none,3981428,1,1,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0
train,none,3983972,0,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
train,none,3985516,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0
train,none,3986050,0,2,3,6,15,1,2,3,6,0,0,0,0,1,0,0,0,2,0,2,0,0,9,1,0,0
train,none,3986210,0,0,2,3,7,1,1,2,3,0,0,0,1,0,0,0,0,2,0,1,0,0,9,9,0,0
train,critical,8999751,0,1,25,4,105,1,6,0,4,0,0,8,1,0,5,10,18,17,0,7,0,0,31,2,0,0
train,none,3987166,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0
train,none,3988323,0,1,2,1,8,0,0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,0,12,0,0,0
