,file,class,Predicted_Values,wmc,tcc,totalMethodsQty,totalFieldsQty,loc,Predicted_Metrics,Euclidean_dist
0,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous2,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
1,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous3,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
2,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous1,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
3,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,none,13,0.46666667,6,3,91,[17.  0.  8.  3. 92.],[4.60627591]
4,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous4,none,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
5,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,minor,7,0.06666667,6,1,143,[ 19.   0.  10.   5. 141.],[13.4165735]
6,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,none,10,0.06666667,7,1,37,[10.  0.  6.  1. 37.],[1.00221976]
7,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,none,5,0.0,5,0,7,[6. 0. 6. 0. 6.],[1.73205081]
8,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertApplication.java,CH.ifa.draw.samples.pert.PertApplication,none,3,0.0,3,1,21,[ 4.  0.  3.  2. 21.],[1.41421356]
9,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$ChildMenuItem,major,2,1.0,2,1,10,[ 2.  0.  2.  1. 10.],[1.]
10,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\BorderTool.java,CH.ifa.draw.figures.BorderTool,none,3,0.0,3,0,54,[ 1. -1.  1.  0. 57.],[4.24264069]
11,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\ColorMap.java,CH.ifa.draw.util.ColorEntry,none,1,,1,2,8,[ 1. -1.  1.  2.  8.],[1.]
12,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,none,25,0.40952381,15,4,95,[27.  0. 14.  3. 94.],[2.67725788]
