,file,class,Predicted_Values,Predicted_Index,wmc,tcc,totalMethodsQty,totalFieldsQty,loc,Predicted_Metrics,Euclidean_dist
0,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\io\ImagesTask.java,hr.fer.zemris.io.ImagesTask,none,282,7,0.33333334,3,2,35,[ 6.  0.  3.  2. 36.],[1.45296632]
1,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneNonUniqueDiagonalTest.java,hr.fer.zemris.test.croatian.OneToOneNonUniqueDiagonalTest,none,2166,29,,8,9,127,[ 30.   0.   7.   5. 127.],[4.24264069]
2,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\IDataSetLoader.java,hr.fer.zemris.gui.nnet.IDataSetLoader,none,208,1,,1,0,3,[ 1. -1.  1.  0.  3.],[1.]
3,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\FiltersFactory.java,hr.fer.zemris.filters.FiltersFactory,none,955,2,1.0,2,1,29,[ 2.  0.  2.  0. 28.],[1.73205081]
4,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\EnglishDataSetLoader.java,hr.fer.zemris.gui.nnet.EnglishDataSetLoader,none,543,6,0.0,3,2,28,[ 7.          0.33333334  3.          2.         28.        ],[1.05409256]
5,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\utility\ImageUtilities.java,hr.fer.zemris.utility.ImageUtilities,none,1634,5,0.0,5,0,25,[ 5.  0.  5.  0. 24.],[1.]
6,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\filter\JFilterSelection.java,hr.fer.zemris.gui.filter.JFilterSelection,none,1792,2,1.0,2,3,44,[ 3.          0.33333334  3.          3.         41.        ],[3.38296385]
7,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\BinaryImage.java,hr.fer.zemris.image.BinaryImage,none,1172,23,0.75,8,2,78,[22.  0.  7.  2. 76.],[2.56173769]
8,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\smallTest\EnglishUpercaseOneToOneDiagonalCrossTestS_SmallTest.java,hr.fer.zemris.test.smallTest.EnglishUpercaseOneToOneDiagonalCrossTestS_SmallTest,none,1302,31,,8,10,133,[ 35.   0.   9.   9. 133.],[4.24264069]
9,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\JOCR.java,hr.fer.zemris.JOCR$Anonymous1,none,625,1,,1,0,5,[ 1. -1.  1.  0.  5.],[1.]
