,file,class,method,Predicted_Values,Predicted_Index,wmc,loc,maxNestedBlocksQty,Predicted_Metrics,Euclidean_dist
0,D:\Masters\OOD\Object-Oriented-Design-Project\Design_Patterns_Paint-master\src\dialogs\DlgRectangle.java,dialogs.DlgRectangle$Anonymous1,mouseClicked/1[java.awt.event.MouseEvent],none,761,4,9,3,[4. 9. 2.],[1.]
1,D:\Masters\OOD\Object-Oriented-Design-Project\Design_Patterns_Paint-master\src\shapes\Rectangle.java,shapes.Rectangle,draw/1[java.awt.Graphics],none,16,2,6,1,[2. 6. 1.],[0.]
2,D:\Masters\OOD\Object-Oriented-Design-Project\Design_Patterns_Paint-master\src\shapes\Rectangle.java,shapes.Rectangle,Rectangle/0,none,78,1,2,0,[1. 2. 0.],[0.]
3,D:\Masters\OOD\Object-Oriented-Design-Project\Design_Patterns_Paint-master\src\shapes\Rectangle.java,shapes.Rectangle,"containsClick/2[int,int]",none,2033,5,4,1,[4. 4. 1.],[1.]
4,D:\Masters\OOD\Object-Oriented-Design-Project\Design_Patterns_Paint-master\src\shapes\Rectangle.java,shapes.Rectangle,getWidth/0,none,0,1,3,0,[1. 3. 0.],[0.]
5,D:\Masters\OOD\Object-Oriented-Design-Project\Design_Patterns_Paint-master\src\shapes\Rectangle.java,shapes.Rectangle,selected/1[java.awt.Graphics],none,45,1,7,0,[1. 7. 0.],[0.]
6,D:\Masters\OOD\Object-Oriented-Design-Project\Design_Patterns_Paint-master\src\shapes\Rectangle.java,shapes.Rectangle,diagonal/0,none,0,1,3,0,[1. 3. 0.],[0.]
7,D:\Masters\OOD\Object-Oriented-Design-Project\Design_Patterns_Paint-master\src\shapes\Rectangle.java,shapes.Rectangle,toString/0,none,0,1,3,0,[1. 3. 0.],[0.]
8,D:\Masters\OOD\Object-Oriented-Design-Project\Design_Patterns_Paint-master\src\shapes\Rectangle.java,shapes.Rectangle,clone/0,none,0,1,3,0,[1. 3. 0.],[0.]
9,D:\Masters\OOD\Object-Oriented-Design-Project\Design_Patterns_Paint-master\src\shapes\Rectangle.java,shapes.Rectangle,equals/1[java.lang.Object],none,42,2,7,1,[2. 7. 1.],[0.]
10,D:\Masters\OOD\Object-Oriented-Design-Project\Design_Patterns_Paint-master\src\shapes\Rectangle.java,shapes.Rectangle,setWidth/1[int],none,0,1,3,0,[1. 3. 0.],[0.]
