,file,class,method,Predicted_Values,wmc,loc,maxNestedBlocksQty,Predicted_Metrics,Euclidean_dist
0,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous2,execute/0,none,1,3,0,[1. 3. 0.],[0.]
1,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous3,execute/0,none,1,3,0,[1. 3. 0.],[0.]
2,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous1,execute/0,none,1,3,0,[1. 3. 0.],[0.]
3,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,activate/0,none,1,4,0,[1. 4. 0.],[0.]
4,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,deactivate/0,none,2,8,1,[2. 8. 1.],[0.]
5,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,"mouseDown/3[java.awt.event.MouseEvent,int,int]",none,3,13,1,[ 3. 13.  1.],[0.]
6,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,createUndoActivity/0,none,1,3,0,[1. 3. 0.],[0.]
7,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,"mouseDrag/3[java.awt.event.MouseEvent,int,int]",none,5,12,2,[ 5. 12.  2.],[0.]
8,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,"DragTracker/2[CH.ifa.draw.framework.DrawingEditor,CH.ifa.draw.framework.Figure]",none,1,4,0,[1. 4. 0.],[0.]
9,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous4,execute/0,none,1,3,0,[1. 3. 0.],[0.]
10,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,getAlignment/0,none,1,3,0,[1. 3. 0.],[0.]
11,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,"AlignCommand/2[CH.ifa.draw.standard.AlignCommand.Alignment,CH.ifa.draw.framework.DrawingEditor]",none,1,4,0,[1. 4. 0.],[0.]
12,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,createUndoActivity/0,none,1,3,0,[1. 3. 0.],[0.]
13,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,setAlignment/1[CH.ifa.draw.standard.AlignCommand.Alignment],none,1,3,0,[1. 3. 0.],[0.]
14,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,isExecutableWithView/0,none,2,3,0,[2. 3. 0.],[0.]
15,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,execute/0,none,1,7,0,[1. 7. 0.],[0.]
16,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,redo/0,none,2,7,1,[2. 7. 1.],[0.]
17,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,undo/0,none,2,7,1,[2. 7. 1.],[0.]
18,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,swapConnectors/0,none,2,8,1,[2. 8. 1.],[0.]
19,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,getOldConnector/0,none,1,3,0,[1. 3. 0.],[0.]
20,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,UndoActivity/1[CH.ifa.draw.framework.DrawingView],none,1,5,0,[1. 5. 0.],[0.]
21,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,setOldConnector/1[CH.ifa.draw.framework.Connector],none,1,3,0,[1. 3. 0.],[0.]
22,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,replaceConnector/1[CH.ifa.draw.framework.ConnectionFigure],none,1,1,0,[1. 2. 0.],[1.]
23,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,figureInvalidated/1[CH.ifa.draw.framework.FigureChangeEvent],none,1,1,0,[1. 2. 0.],[1.]
24,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,figureRequestRemove/1[CH.ifa.draw.framework.FigureChangeEvent],none,1,1,0,[1. 2. 0.],[1.]
25,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,figureRequestUpdate/1[CH.ifa.draw.framework.FigureChangeEvent],none,1,1,0,[1. 2. 0.],[1.]
26,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,figureChanged/1[CH.ifa.draw.framework.FigureChangeEvent],none,1,1,0,[1. 2. 0.],[1.]
27,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,figureRemoved/1[CH.ifa.draw.framework.FigureChangeEvent],none,1,1,0,[1. 2. 0.],[1.]
28,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertApplication.java,CH.ifa.draw.samples.pert.PertApplication,createTools/1[javax.swing.JToolBar],none,1,11,0,[ 1. 11.  0.],[0.]
29,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertApplication.java,CH.ifa.draw.samples.pert.PertApplication,main/1[java.lang.String[]],none,1,4,0,[1. 4. 0.],[0.]
30,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertApplication.java,CH.ifa.draw.samples.pert.PertApplication,PertApplication/0,none,1,3,0,[1. 3. 0.],[0.]
31,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$ChildMenuItem,ChildMenuItem/1[javax.swing.JInternalFrame],none,1,4,0,[1. 4. 0.],[0.]
32,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$ChildMenuItem,getFrame/0,none,1,3,0,[1. 3. 0.],[0.]
33,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\BorderTool.java,CH.ifa.draw.figures.BorderTool,action/1[CH.ifa.draw.framework.Figure],none,1,8,0,[1. 8. 0.],[0.]
34,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\BorderTool.java,CH.ifa.draw.figures.BorderTool,createUndoActivity/0,none,1,3,0,[1. 3. 0.],[0.]
35,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\BorderTool.java,CH.ifa.draw.figures.BorderTool,BorderTool/1[CH.ifa.draw.framework.DrawingEditor],none,1,3,0,[1. 3. 0.],[0.]
36,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\ColorMap.java,CH.ifa.draw.util.ColorEntry,"ColorEntry/2[java.lang.String,java.awt.Color]",none,1,4,0,[1. 4. 0.],[0.]
37,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,isRedoable/0,none,2,8,1,[2. 8. 1.],[0.]
38,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,getUndoSize/0,none,1,3,0,[1. 3. 0.],[0.]
39,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,peekRedo/0,none,2,8,1,[2. 8. 1.],[0.]
40,D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,UndoManager/1[int],none,1,5,0,[1. 5. 0.],[0.]
