,file,class,method,Predicted_Values,Predicted_Index,wmc,loc,maxNestedBlocksQty,Predicted_Metrics,Euclidean_dist
0,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\io\ImagesTask.java,hr.fer.zemris.io.ImagesTask,done/0,none,0,1,3,0,[1. 3. 0.],[0.]
1,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\io\ImagesTask.java,hr.fer.zemris.io.ImagesTask,"ImagesTask/2[java.util.List<java.nio.file.Path>,java.nio.file.Path]",none,1,1,4,0,[1. 4. 0.],[0.]
2,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\io\ImagesTask.java,hr.fer.zemris.io.ImagesTask,doInBackground/0,none,62,5,24,2,[ 5. 24.  1.],[1.]
3,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneNonUniqueDiagonalTest.java,hr.fer.zemris.test.croatian.OneToOneNonUniqueDiagonalTest,"learnNeuralNet/2[hr.fer.zemris.test.croatian.DataSet,hr.fer.zemris.test.croatian.DataSet]",none,379,1,11,0,[ 1. 11.  0.],[0.]
4,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneNonUniqueDiagonalTest.java,hr.fer.zemris.test.croatian.OneToOneNonUniqueDiagonalTest,"testLearnedNeuralNet/2[hr.fer.zemris.test.croatian.DataSet,hr.fer.zemris.test.croatian.DataSet]",none,19,2,8,1,[2. 8. 1.],[0.]
5,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneNonUniqueDiagonalTest.java,hr.fer.zemris.test.croatian.OneToOneNonUniqueDiagonalTest,"isVectorSame/2[double[],double[]]",none,2290,6,11,2,[ 6. 11.  2.],[0.]
6,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneNonUniqueDiagonalTest.java,hr.fer.zemris.test.croatian.OneToOneNonUniqueDiagonalTest,"testNeuralNet/3[hr.fer.zemris.test.croatian.NeuralNetwork,hr.fer.zemris.test.croatian.DataSet,java.lang.String]",none,1724,6,26,5,[ 6. 25.  5.],[1.]
7,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneNonUniqueDiagonalTest.java,hr.fer.zemris.test.croatian.OneToOneNonUniqueDiagonalTest,loadDataSet/1[java.lang.String],none,108,2,11,1,[ 2. 11.  1.],[0.]
8,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneNonUniqueDiagonalTest.java,hr.fer.zemris.test.croatian.OneToOneNonUniqueDiagonalTest,loadInputImages/1[java.lang.String],none,226,3,18,2,[ 3. 18.  2.],[0.]
9,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneNonUniqueDiagonalTest.java,hr.fer.zemris.test.croatian.OneToOneNonUniqueDiagonalTest,main/1[java.lang.String[]],none,34,2,10,1,[ 2. 10.  1.],[0.]
10,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\test\croatian\OneToOneNonUniqueDiagonalTest.java,hr.fer.zemris.test.croatian.OneToOneNonUniqueDiagonalTest,"isOutputSame/2[double[],double[]]",none,142,7,21,2,[ 7. 22.  2.],[1.]
11,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\IDataSetLoader.java,hr.fer.zemris.gui.nnet.IDataSetLoader,loadDataSet/1[java.nio.file.Path],none,78,1,1,0,[1. 2. 0.],[1.]
12,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\FiltersFactory.java,hr.fer.zemris.filters.FiltersFactory,getDefaultFilters/0,none,559,1,9,0,[1. 9. 0.],[0.]
13,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\filters\FiltersFactory.java,hr.fer.zemris.filters.FiltersFactory,getAvailableFilters/0,none,165,1,17,0,[ 1. 17.  0.],[0.]
14,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\EnglishDataSetLoader.java,hr.fer.zemris.gui.nnet.EnglishDataSetLoader,loadDataSet/1[java.nio.file.Path],none,239,3,13,2,[ 3. 13.  2.],[0.]
15,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\EnglishDataSetLoader.java,hr.fer.zemris.gui.nnet.EnglishDataSetLoader,"EnglishDataSetLoader/2[hr.fer.zemris.gui.console.JConsole,boolean]",none,0,1,3,0,[1. 3. 0.],[0.]
16,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\nnet\EnglishDataSetLoader.java,hr.fer.zemris.gui.nnet.EnglishDataSetLoader,toString/0,none,19,2,8,1,[2. 8. 1.],[0.]
17,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\utility\ImageUtilities.java,hr.fer.zemris.utility.ImageUtilities,getAlpha/1[int],none,0,1,3,0,[1. 3. 0.],[0.]
18,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\utility\ImageUtilities.java,hr.fer.zemris.utility.ImageUtilities,getRed/1[int],none,0,1,3,0,[1. 3. 0.],[0.]
19,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\utility\ImageUtilities.java,hr.fer.zemris.utility.ImageUtilities,getBlue/1[int],none,0,1,3,0,[1. 3. 0.],[0.]
20,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\utility\ImageUtilities.java,hr.fer.zemris.utility.ImageUtilities,getGreen/1[int],none,0,1,3,0,[1. 3. 0.],[0.]
21,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\utility\ImageUtilities.java,hr.fer.zemris.utility.ImageUtilities,"colorToRGB/4[int,int,int,int]",none,379,1,11,0,[ 1. 11.  0.],[0.]
22,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\filter\JFilterSelection.java,hr.fer.zemris.gui.filter.JFilterSelection,getSelectedFilters/0,none,0,1,3,0,[1. 3. 0.],[0.]
23,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\gui\filter\JFilterSelection.java,hr.fer.zemris.gui.filter.JFilterSelection,JFilterSelection/0,critical,1046,1,36,1,[ 1. 37.  0.],[1.41421356]
24,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\BinaryImage.java,hr.fer.zemris.image.BinaryImage,BinaryImage/1[java.awt.image.BufferedImage],none,0,1,3,0,[1. 3. 0.],[0.]
25,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\BinaryImage.java,hr.fer.zemris.image.BinaryImage,getVector/0,none,292,3,11,2,[ 3. 11.  2.],[0.]
26,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\BinaryImage.java,hr.fer.zemris.image.BinaryImage,getImageRepresentation/0,minor,2288,5,15,3,[ 5. 15.  3.],[0.]
27,D:\Masters\OOD\Object-Oriented-Design-Project\final-thesis-master\Project\src\main\java\hr\fer\zemris\image\BinaryImage.java,hr.fer.zemris.image.BinaryImage,"BinaryImage/2[java.awt.image.BufferedImage,java.util.List<hr.fer.zemris.filters.IFilter>]",none,2272,7,21,3,[ 7. 21.  3.],[0.]
