file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\DragTracker.java,CH.ifa.draw.standard.DragTracker,class,9,11,2,9,13,3,0,19,1,0.5,0.46666667,0.6666667,6,0,5,0,1,0,6,0,0,0,3,0,0,3,0,0,0,0,2,91,1,1,0,0,3,0,2,9,4,5,2,0,1,0,44,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawApp.java,CH.ifa.draw.samples.javadraw.JavaDrawApp$Anonymous4,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\AlignCommand.java,CH.ifa.draw.standard.AlignCommand,class,9,11,2,9,7,3,0,13,13,0.6666667,0.06666667,0.06666667,6,0,3,0,3,0,6,0,0,0,1,0,0,1,0,0,0,0,0,143,3,0,0,0,1,0,1,1,0,1,0,0,2,0,41,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\ChangeConnectionHandle.java,CH.ifa.draw.standard.ChangeConnectionHandle$UndoActivity,innerclass,6,6,0,6,10,2,0,11,19,0.71428573,0.06666667,0.06666667,7,0,5,1,1,0,6,1,0,0,1,0,0,1,0,0,0,0,0,37,5,0,0,0,0,0,0,3,0,3,1,0,0,0,28,1033,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\framework\FigureChangeListener.java,CH.ifa.draw.framework.FigureChangeListener,interface,1,14,13,1,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertApplication.java,CH.ifa.draw.samples.pert.PertApplication,class,10,11,1,10,3,7,0,4,3,0.6666667,0.0,0.0,3,1,1,0,1,1,3,0,0,0,1,1,0,1,0,0,1,0,0,21,0,0,0,0,0,10,0,6,4,3,0,0,0,0,35,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\WindowMenu.java,CH.ifa.draw.contrib.WindowMenu$ChildMenuItem,innerclass,0,0,0,0,2,7,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,0,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\BorderTool.java,CH.ifa.draw.figures.BorderTool,class,10,13,3,10,3,4,0,7,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,0,0,1,0,0,1,0,1,0,0,1,0,30,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\ColorMap.java,CH.ifa.draw.util.ColorEntry,class,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,0,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\UndoManager.java,CH.ifa.draw.util.UndoManager,class,2,12,10,2,25,1,0,12,19,0.7,0.40952381,0.74285716,15,0,12,0,3,0,15,0,0,0,4,1,1,3,0,0,1,0,0,95,12,0,2,0,4,0,10,8,2,6,2,0,0,0,67,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\StorableOutput.java,CH.ifa.draw.util.StorableOutput,class,2,31,29,2,26,1,0,25,0,0.6,0.75,0.75,15,0,8,7,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,113,3,2,1,0,0,2,9,10,0,7,2,0,0,0,61,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\ChopDiamondConnector.java,CH.ifa.draw.contrib.ChopDiamondConnector,class,3,4,1,3,15,3,0,5,3,1.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,6,42,3,0,1,0,4,0,16,14,16,9,2,0,0,0,54,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\util\ReverseVectorEnumerator.java,CH.ifa.draw.util.ReverseVectorEnumerator,class,0,1,1,0,5,1,0,2,0,0.16666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,17,2,0,0,0,0,1,3,2,1,2,1,0,0,0,24,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\contrib\ChopPolygonConnector.java,CH.ifa.draw.contrib.ChopPolygonConnector,class,3,4,1,3,3,3,0,1,3,1.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,1,0,1,0,0,1,0,0,11,1,0,0,0,1,0,1,1,0,1,0,0,0,0,29,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\GroupHandle.java,CH.ifa.draw.figures.GroupHandle,class,4,5,1,4,2,4,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2,1,0,1,0,0,0,0,17,16,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\javadraw\JavaDrawViewer.java,CH.ifa.draw.samples.javadraw.JavaDrawViewer,class,12,13,1,12,14,6,0,13,54,0.8333333,0.07272727,0.12727273,12,0,10,1,1,0,11,0,0,0,5,0,0,5,0,0,0,0,0,62,5,0,1,1,0,5,2,10,2,9,1,0,0,0,76,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\figures\FigureAttributes.java,CH.ifa.draw.figures.FigureAttributes,class,4,7,3,4,29,1,0,25,0,0.7407408,0.5833333,0.5833333,9,2,9,0,0,0,9,0,0,0,3,1,0,3,0,0,1,0,1,119,4,2,2,1,2,18,3,20,1,13,3,0,0,0,96,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\samples\pert\PertDependency.java,CH.ifa.draw.samples.pert.PertDependency,class,6,9,3,6,8,4,0,13,10,1.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,1,0,2,0,0,1,0,1,39,2,0,2,0,3,1,4,7,0,7,1,0,0,0,35,1,0
D:\Masters\OOD\Object-Oriented-Design-Project\JHotDraw5.3-master\src\CH\ifa\draw\standard\BoxHandleKit.java,CH.ifa.draw.standard.ResizeHandle$UndoActivity,innerclass,5,5,0,5,9,2,0,12,13,0.6666667,0.1,0.1,6,0,4,1,1,0,5,0,0,0,1,0,0,1,0,0,0,0,0,37,7,0,0,0,0,0,0,4,0,4,1,0,0,0,28,9,0
